Home,Visitor
DET,GB
PIT,CLE
NYG,NO
MIA,NYJ
TEN,JAX
MIN,ATL
PHI,CAR
TB,LV
ARI,SEA
SF,CHI
LA,BUF
KC,LAC
DAL,CIN
