Home,Visitor
PIT,KC
HOU,BAL
CHI,SEA
WAS,ATL
NE,LAC
CIN,DEN
NYG,IND
LA,ARI
TB,CAR
BUF,NYJ
MIN,GB
NO,LV
JAX,TEN
PHI,DAL
CLE,MIA
SF,DET
