Home,Visitor
LAC,DEN
KC,HOU
BAL,PIT
BUF,NE
ATL,NYG
CHI,DET
CAR,ARI
NYJ,LA
WAS,PHI
CIN,CLE
IND,TEN
SEA,MIN
LV,JAX
MIA,SF
DAL,TB
GB,NO
