Home,Visitor
BAL,CLE
LV,LAC
PIT,CIN
ARI,SF
ATL,CAR
DEN,KC
LA,SEA
TEN,HOU
PHI,NYG
IND,JAX
DET,MIN
DAL,WAS
GB,CHI
NYJ,MIA
TB,NO
NE,BUF
